Country_Region,Confirmed,Deaths
US,750,9
US,0,0
US,1631,22
US,436,5
US,1391,20
US,494,8
US,2795,40
US,793,12
US,46615,461
US,5549,99
US,6530,94
US,6225,65
US,1257,27
US,12759,207
US,2916,38
US,8774,132
US,36286,268
US,5914,51
US,16052,165
US,8324,122
US,2099,24
US,3560,50
US,4986,72
US,20927,195
US,3837,49
US,4013,58
US,7908,85
US,22384,153
US,969,19
US,3437,42
US,8457,97
US,3955,66
US,16048,196
US,9932,53
US,7746,82
US,3393,43
US,2145,45
US,2153,28
US,30831,359
US,2528,38
US,2249,16
US,4063,42
US,93315,555
US,3648,48
US,12296,159
US,13192,135
US,1151,24
US,2162,45
US,4733,71
US,6756,52
US,11322,160
US,8034,122
US,3526,38
US,11883,126
US,2446,21
US,32241,403
US,9085,184
US,6111,62
US,5341,94
US,13688,147
US,4735,46
US,818,23
US,14692,244
US,4203,71
US,220855,2091
US,14976,130
US,5913,97
US,40963,370
US,4045,57
US,11378,125
US,3709,68
US,18393,203
US,4475,59
US,2891,46
US,3638,39
US,6761,96
US,4445,79
US,6209,121
US,2328,58
US,8285,113
US,2819,33
US,27461,251
US,3813,41
US,6342,75
US,8347,97
US,3229,45
US,4558,97
US,17817,229
US,5145,74
US,2598,46
US,5743,64
US,1509,30
US,7271,99
US,2829,59
US,3603,74
US,6690,87
US,4659,18
US,10071,118
US,14286,140
US,1878,30
US,7254,95
US,18035,127
US,2350,32
US,1550,23
US,3415,34
US,10553,149
US,18403,258
US,4693,38
US,15991,254
US,623,21
US,4998,55
US,6417,55
US,6180,81
US,15825,94
US,13118,147
US,5592,87
US,5261,50
US,8844,113
US,2904,42
US,3658,41
US,2137,38
US,2562,0
US,4298,55
US,42590,339
US,3851,56
US,5175,87
US,3877,47
US,13908,168
US,2398,18
US,6721,45
US,14982,287
US,7359,129
US,33049,286
US,5237,69
US,10758,200
US,8760,140
US,3698,109
US,35220,469
US,63196,1105
US,51608,688
US,3052,52
US,1144,8
US,2557,55
US,3095,73
US,4789,89
US,6924,134
US,105064,1313
US,2317,35
US,6683,164
US,7929,153
US,6751,172
US,5518,87
US,18089,257
US,8510,148
US,4065,72
US,107971,1309
US,6583,150
US,3968,53
US,59150,485
US,26136,360
US,11436,137
US,35091,456
US,3027,58
US,6481,132
US,9512,160
US,82909,1100
US,47177,713
US,0,0
US,6096,44
US,5855,89
US,30821,557
US,1985,52
US,6127,94
US,5975,109
US,10672,107
US,13132,142
US,1827,23
US,5453,75
US,9997,183
US,21007,402
US,12225,181
US,11896,256
US,67995,829
US,32833,585
US,935,11
US,29185,407
US,926,0
US,6379,129
US,14395,219
US,9448,186
US,12174,244
US,10451,175
US,6867,83
US,3333,61
US,2702,43
US,4134,61
US,22157,255
US,11970,143
US,47326,339
US,5569,56
US,7083,77
US,22136,220
US,5724,29
US,5012,30
US,0,0
US,10911,138
US,26648,311
US,2902,29
US,4892,28
US,9304,100
US,42,0
US,5867,53
US,4128,50
US,38602,251
US,17009,349
US,88376,1043
US,130716,2423
US,110593,1736
US,11025,141
US,6006,80
US,21084,390
US,15268,254
US,27616,342
US,7662,106
US,45158,507
US,5641,114
US,37796,568
US,43098,367
US,3024,66
US,165445,1999
US,169032,2113
US,7019,108
US,5143,70
US,18725,208
US,5516,83
US,0,59
US,34859,571
US,19502,320
US,8595,154
US,34446,676
US,22623,404
US,148343,2470
US,6741,15
US,202654,3146
US,10307,170
US,131443,2063
US,26897,410
US,318306,4693
US,129030,2228
US,114333,1986
US,206935,2295
US,134121,8
US,189588,3013
US,1712,68
US,1698,13
US,26875,332
US,5548,133
US,4267,61
US,3183,63
US,2020,53
US,14199,159
US,26875,564
US,3395,64
US,34411,529
US,11225,173
US,33756,556
US,11039,137
US,4872,58
US,4552,100
US,8386,96
US,6689,153
US,20938,201
US,2540,29
US,9888,153
US,7356,106
US,26474,387
US,6320,82
US,324,5
US,100291,1673
US,5548,110
US,3241,68
US,16987,219
US,10589,177
US,10265,194
US,7702,89
US,7989,144
US,63236,734
US,16358,169
US,4769,135
US,2636,85
US,15450,199
US,39084,528
US,58435,655
US,3491,55
US,165176,1480
US,504,13
US,1826,35
US,20135,407
US,3538,50
US,24264,309
US,45376,435
US,1419,9
US,2368,28
US,225432,3841
US,3658,82
US,14842,121
US,6648,86
US,8594,105
US,5546,69
US,38126,175
US,18922,219
US,2886,58
US,37608,457
US,14924,199
US,1698,47
US,39278,616
US,11393,153
US,282733,3720
US,6254,89
US,4293,99
US,971,36
US,4949,77
US,1425,54
US,5561,95
US,74134,773
US,5645,39
US,2057,55
US,4579,110
US,48979,914
US,8626,184
US,1745,15
US,17655,224
US,40098,805
US,13592,199
US,13159,271
US,18,0
US,16870,262
US,73203,505
US,393515,7709
US,6992,103
US,2919,60
US,97536,778
US,8646,89
US,11362,122
US,13793,168
US,1368,8
US,17500,96
US,6478,77
US,8788,95
US,26268,113
US,6796,79
US,3044,47
US,14403,117
US,19521,120
US,2117,30
US,542,4
US,3183,41
US,15769,164
US,108421,756
US,5593,21
US,10779,115
US,3724,50
US,4671,24
US,8929,72
US,12841,126
US,1442,12
US,294395,2513
US,4463,18
US,4872,56
US,10017,116
US,10894,141
US,2131,17
US,3458,54
US,13232,135
US,1022,26
US,2671,35
US,1724,28
US,2025,28
US,754,6
US,6400,49
US,1203,6
US,7016,72
US,1699,17
US,2044,23
US,5520,61
US,10412,106
US,5800,74
US,7143,110
US,8987,101
US,11737,69
US,2012,15
US,7861,66
US,6896,59
US,1470,13
US,39897,170
US,13334,162
US,3498,40
US,6937,66
US,1977,34
US,8521,101
US,2928,17
US,122308,1308
US,927,13
US,3857,53
US,3631,56
US,17514,171
US,2312,33
US,4384,44
US,39685,250
US,27057,176
US,3453,23
US,46034,519
US,50086,360
US,10234,58
US,2600,13
US,2267,33
US,6647,55
US,827,10
US,6019,190
US,5494,16
US,4118,52
US,5413,39
US,65913,469
US,2925,23
US,1623,22
US,12423,71
US,36178,300
US,2499,28
US,7104,141
US,9883,149
US,3214,67
US,5240,111
US,2264,49
US,9219,177
US,4632,70
US,2555,50
US,5575,95
US,2199,33
US,2134,46
US,4205,106
US,4934,97
US,6430,120
US,7098,114
US,7053,109
US,49887,539
US,21900,306
US,1922,38
US,7118,86
US,3178,56
US,5491,126
US,12146,150
US,53265,647
US,51938,769
US,4436,104
US,2007,44
US,261,9
US,7357,143
US,36743,444
US,4813,73
US,1470,37
US,2842,50
US,21101,287
US,2163,47
US,15109,176
US,17310,160
US,18712,359
US,3563,55
US,6373,115
US,26552,293
US,7291,167
US,8255,156
US,17459,233
US,23880,319
US,6939,134
US,9875,172
US,10949,215
US,2946,74
US,10560,235
US,5979,96
US,2714,48
US,11056,158
US,10364,167
US,14973,268
US,3033,63
US,9483,183
US,10276,139
US,8167,103
US,1559,31
US,36343,476
US,6478,118
US,950,25
US,6935,145
US,4088,67
US,5383,70
US,5737,120
US,3176,60
US,7271,139
US,7294,106
US,6103,122
US,2509,45
US,0,0
US,9447,118
US,3574,78
US,10180,199
US,10226,195
US,5945,84
US,3374,68
US,1792,46
US,5197,103
US,4052,56
US,8000,103
US,5470,61
US,4689,54
US,1379,19
US,5674,107
US,6588,124
US,2801,49
US,3729,88
US,4126,91
US,2513,36
US,43120,241
US,22433,296
US,9917,154
US,1673,35
US,11934,119
US,9224,171
US,18526,233
US,2219,42
US,1489,21
US,24570,297
US,2902,48
US,1687,34
US,20738,245
US,1576,32
US,26885,348
US,4709,114
US,20014,270
US,4130,74
US,5361,97
US,1416,40
US,3779,70
US,1667,26
US,2135,45
US,3233,74
US,2539,77
US,7118,110
US,22549,322
US,3310,94
US,2130,30
US,69533,967
US,2405,65
US,1800,30
US,5716,78
US,1819,54
US,1044,27
US,2153,25
US,8832,199
US,2169,36
US,96728,1159
US,34454,508
US,53700,601
US,12025,139
US,111373,1204
US,955,12
US,8070,168
US,7681,123
US,7712,153
US,2710,34
US,15076,130
US,2514,62
US,3710,88
US,3599,50
US,3557,50
US,1587,33
US,7928,114
US,5230,66
US,691,12
US,6059,114
US,3299,56
US,3798,55
US,2157,40
US,2456,54
US,3990,101
US,5005,82
US,11658,192
US,5984,43
US,2013,32
US,3194,40
US,1690,55
US,2960,73
US,4871,44
US,11843,154
US,9987,231
US,4215,57
US,10237,100
US,7998,103
US,8778,112
US,988,22
US,2427,24
US,5981,100
US,5125,89
US,1146,24
US,2671,60
US,6246,99
US,722,25
US,682,18
US,11022,152
US,1588,35
US,1501,15
US,93335,886
US,2094,32
US,18867,272
US,218240,3210
US,55733,742
US,3642,39
US,6069,121
US,5739,114
US,1701,20
US,13209,215
US,4636,93
US,0,0
US,5028,102
US,8079,99
US,5916,131
US,2361,47
US,8973,139
US,399,3
US,3811,77
US,2116,28
US,4941,92
US,2049,31
US,1256,18
US,2025,28
US,247,5
US,24954,314
US,974,14
US,3032,46
US,386,9
US,2325,54
US,2499,29
US,676,10
US,2489,54
US,28975,266
US,33941,115
US,223,3
US,3918,68
US,150,5
US,528,8
US,4527,72
US,2581,23
US,219,1
US,6544,98
US,17450,172
US,393,4
US,4664,81
US,1802,20
US,386,9
US,408,10
US,1081,17
US,27044,201
US,911,26
US,4149,34
US,35,1
US,1053,28
US,1155,6
US,331,10
US,1860,28
US,262,3
US,6980,141
US,2559,31
US,3246,71
US,2626,59
US,2129,46
US,687,11
US,8426,129
US,1520,29
US,769,11
US,1268,20
US,1238,23
US,135,1
US,0,0
US,1691,36
US,382,14
US,204,8
US,42611,533
US,6408,46
US,1068,7
US,32,1
US,89,0
US,67,0
US,1088,4
US,2318,8
US,404,3
US,505,2
US,11948,57
US,1324,12
US,1892,11
US,6111,16
US,1501,11
US,739,5
US,545,7
US,2015,16
US,1503,11
US,2715,21
US,1803,15
US,2022,19
US,6904,65
US,1357,12
US,5251,31
US,321,1
US,1176,9
US,10045,62
US,148387,718
US,350,4
US,1125,8
US,419,4
US,543,1
US,1122,5
US,3566,19
US,366,1
US,398,1
US,369,5
US,107,4
US,409,1
US,16464,117
US,2247,17
US,374,0
US,104,0
US,532,5
US,2132,16
US,113,2
US,1181,10
US,1213,1
US,867,9
US,1179,5
US,1529,10
US,118,0
US,766,1
US,1677,12
US,77609,170
US,8657,60
US,148,0
US,87,0
US,9648,44
US,74,1
US,1699,15
US,1234,7
US,796,10
US,1481,15
US,962,11
US,3327,10
US,410,1
US,530,11
US,2318,10
US,1272,20
US,8615,50
US,1224,9
US,2321,15
US,1804,19
US,171,2
US,3795,2
US,49466,131
US,4987,16
US,9379,48
US,3363,32
US,995,10
US,583,4
US,65,0
US,743,11
US,1108,4
US,94,1
US,1773,11
US,4842,1783
US,743,2
US,4541,25
US,1796,7
US,707,7
US,127,0
US,3892,11
US,14463,204
US,6453,106
US,512110,7552
US,7945,88
US,12333,135
US,90,3
US,308,0
US,4498,53
US,1188,20
US,956,7
US,10725,167
US,959,15
US,6949,233
US,1409,29
US,343,10
US,0,0
US,102671,1157
US,1946,19
US,13280,170
US,9056,55
US,14260,104
US,6785,110
US,16903,61
US,95829,880
US,31635,218
US,65718,506
US,28410,201
US,9041,68
US,220,4
US,67862,982
US,219036,3405
US,100910,1177
US,124333,1768
US,21678,290
US,38990,579
US,209470,3572
US,69107,940
US,168413,2704
US,24161,269
US,74741,1247
US,189467,2846
US,161644,2150
US,116516,1514
US,160044,2885
US,142644,2317
US,14202,245
US,66493,960
US,33476,464
US,3262,0
US,142743,2348
US,23579,337
US,145179,1656
US,409,13
US,21279,297
US,6829,178
US,2396,64
US,12492,177
US,568,5
US,62348,710
US,16950,261
US,6548,77
US,1094,17
US,78,4
US,1076,13
US,19125,314
US,5150,64
US,2671,13
US,6667,117
US,25553,569
US,752,16
US,13250,179
US,1973,49
US,9660,123
US,4964,92
US,40313,723
US,5703,50
US,33049,384
US,27790,248
US,2013,70
US,3776,85
US,5254,89
US,2651,51
US,6634,0
US,776,14
US,18341,250
US,58018,502
US,8806,149
US,404565,7696
US,44408,508
US,15203,215
US,15653,144
US,23354,288
US,20994,227
US,9152,117
US,16337,82
US,9892,140
US,10306,114
US,7566,68
US,63256,649
US,205953,2586
US,5468,57
US,9091,44
US,12283,166
US,13535,184
US,8453,121
US,834,5
US,13549,188
US,19623,130
US,686511,12721
US,6095,47
US,11478,113
US,12717,125
US,149417,1543
US,11672,199
US,398668,3806
US,403049,5407
US,47261,563
US,52230,777
US,107408,1030
US,19509,171
US,108762,1104
US,8531,112
US,25050,180
US,9663,88
US,0,454
US,23320,121
US,634874,11767
US,30875,244
US,164229,2284
US,91221,890
US,45175,318
US,32374,296
US,4909,34
US,3384,24
US,5754,89
US,20535,178
US,19547,239
US,422911,4342
US,18194,127
US,10508,82
US,17472,82
US,30874,359
US,453,1
US,13293,122
US,11860,113
US,16903,168
US,246820,2690
US,8227,82
US,3305,39
US,46298,447
US,10354,133
US,2924,12
US,6491,96
US,6311,72
US,4393,42
US,12116,159
US,4205,65
US,9266,118
US,29389,304
US,50981,538
US,24641,299
US,54980,460
US,21960,292
US,1704,9
US,13943,85
US,5186,43
US,47264,554
US,12504,107
US,7067,113
US,4104,54
US,2607,39
US,29442,362
US,15818,265
US,23796,191
US,81906,556
US,4844,32
US,7291,22
US,42694,389
US,11045,90
US,16671,231
US,69253,298
US,13372,141
US,91426,768
US,20047,65
US,64673,779
US,1846,19
US,2257,30
US,14105,111
US,5741,56
US,114953,1108
US,13852,176
US,32039,314
US,12795,193
US,24635,287
US,4670,81
US,14451,102
US,1300,13
US,47915,435
US,9198,85
US,58286,426
US,2191,38
US,15795,137
US,15595,201
US,24093,156
US,7375,106
US,5012,79
US,6028,89
US,13421,162
US,275352,1551
US,3257,34
US,7229,126
US,23976,312
US,26893,288
US,49222,377
US,4294,80
US,51163,364
US,25547,122
US,2580,27
US,8204,111
US,15187,118
US,2712,17
US,9132,104
US,52129,152
US,3812,52
US,35178,397
US,12503,184
US,40166,518
US,21718,260
US,40848,561
US,17300,391
US,18440,164
US,9879,126
US,19325,249
US,11071,166
US,20869,324
US,3427,35
US,6066,68
US,970,8
US,0,0
US,61182,473
US,11763,112
US,286542,1030
US,4263,39
US,2996,49
US,12201,53
US,27662,377
US,17529,253
US,21366,299
US,10687,107
US,4855,51
US,594,10
US,2956,46
US,1958,22
US,142,1
US,1576,25
US,829,9
US,430,3
US,34721,300
US,58605,330
US,813,7
US,1480,39
US,454,4
US,1032,8
US,758,6
US,727,18
US,977,22
US,474,4
US,21987,124
US,450,11
US,567,2
US,820,7
US,501,13
US,981,19
US,433,12
US,1292,30
US,678,9
US,3240,25
US,2724,49
US,2545,24
US,11149,142
US,3212,36
US,756,18
US,326,5
US,1956,16
US,1057,32
US,3610,55
US,1486,28
US,546,15
US,4018,23
US,5885,41
US,1030,9
US,291,7
US,1332,19
US,63,0
US,11590,85
US,383,2
US,7006,96
US,634,12
US,2180,25
US,0,0
US,3323,34
US,20625,248
US,1007,11
US,10420,68
US,9999,30
US,6906,138
US,27342,468
US,11902,210
US,19620,408
US,14341,130
US,11537,179
US,15555,284
US,11144,169
US,90636,1106
US,5244,122
US,8677,142
US,34849,547
US,51006,524
US,10272,160
US,24275,475
US,7915,151
US,11122,205
US,266755,3656
US,12335,228
US,10160,161
US,43910,263
US,19329,262
US,38240,414
US,7757,113
US,286603,2488
US,10282,174
US,7401,116
US,15925,261
US,37284,497
US,10390,147
US,186082,1981
US,17029,268
US,7043,149
US,3205,72
US,6407,106
US,10579,173
US,6551,115
US,5088,180
US,14397,219
US,8842,135
US,14607,303
US,13075,223
US,48614,719
US,17702,222
US,41414,463
US,10167,166
US,66223,951
US,98982,1357
US,9615,126
US,53111,1053
US,19763,262
US,39823,494
US,4567,80
US,9654,131
US,25641,469
US,3439,77
US,126208,1930
US,3253,54
US,7711,99
US,25154,287
US,3188,54
US,8395,133
US,4584,73
US,8223,122
US,17416,220
US,7417,109
US,33895,437
US,9416,192
US,8424,152
US,31305,495
US,19127,292
US,13836,230
US,20462,244
US,12679,221
US,11014,184
US,79461,1666
US,111697,1657
US,41258,908
US,20491,484
US,0,5
US,15500,97
US,6694,140
US,2887,55
US,57293,558
US,12286,196
US,23029,429
US,8968,158
US,31273,344
US,5398,101
US,7808,69
US,1704,14
US,3825,45
US,949,10
US,5885,100
US,2405,38
US,13483,127
US,8185,155
US,38719,365
US,13800,220
US,14459,139
US,4048,57
US,562,6
US,78440,765
US,1646,20
US,31417,364
US,1410,24
US,4676,51
US,18045,312
US,7747,160
US,10982,192
US,1058,28
US,766,7
US,15068,263
US,6978,132
US,13625,231
US,1027,14
US,1279,30
US,515,11
US,702,12
US,2767,37
US,2543,58
US,6533,97
US,1281,23
US,2998,51
US,12082,207
US,4108,62
US,1943,50
US,2269,32
US,12345,104
US,7772,127
US,10670,152
US,3028,36
US,2433,39
US,4527,39
US,10196,153
US,11531,125
US,7995,159
US,4879,118
US,4151,68
US,19823,319
US,3004,36
US,2767,36
US,3505,56
US,194092,2272
US,9635,173
US,10823,158
US,9074,121
US,0,0
US,4070,82
US,18116,149
US,10726,195
US,11857,125
US,20462,263
US,2626,42
US,864,15
US,25193,363
US,6061,125
US,10559,100
US,10851,189
US,5957,53
US,1504,30
US,168447,2028
US,3018,1558
US,21487,256
US,12590,239
US,2613,46
US,2340,36
US,5143,72
US,3194,46
US,14865,62
US,59292,530
US,4527,39
US,7459,75
US,10492,143
US,5995,76
US,3291,44
US,45373,244
US,19493,372
US,281,5
US,1572,18
US,1589,37
US,3491,42
US,42196,486
US,7159,84
US,16083,314
US,13982,196
US,1384,24
US,56436,471
US,6931,73
US,26106,234
US,8176,101
US,68389,660
US,2942,31
US,111223,1062
US,15117,127
US,313,4
US,3596,57
US,22243,201
US,0,0
US,5002,74
US,1235,14
US,5064,55
US,84400,511
US,243,3
US,17583,194
US,24597,354
US,261220,3222
US,15146,333
US,39843,712
US,10896,271
US,101675,1573
US,29443,597
US,14848,193
US,121987,1845
US,44103,704
US,34325,704
US,813,19
US,15760,283
US,34820,343
US,90674,1120
US,8172,198
US,19098,329
US,8987,124
US,14918,240
US,19661,309
US,50534,865
US,58767,936
US,108944,1827
US,7078,96
US,56572,739
US,30731,644
US,2231,35
US,40113,670
US,4089,64
US,8349,98
US,11426,240
US,17239,344
US,8882,222
US,4742,174
US,42926,732
US,120229,1849
US,18774,407
US,36353,505
US,88861,1227
US,72943,1314
US,28244,506
US,8089,137
US,23193,488
US,12203,274
US,36674,510
US,150000,2276
US,4480,91
US,78888,1069
US,22672,521
US,8775,180
US,305124,4998
US,9902,92
US,3129,91
US,34185,658
US,8042,152
US,18616,396
US,1045,36
US,7638,105
US,7883,189
US,0,0
US,11600,151
US,11181,232
US,7239,207
US,50406,637
US,10004,166
US,79142,1342
US,5035,100
US,117935,1460
US,2070,0
US,5745,0
US,6562,0
US,3696,0
US,3320,0
US,3264,0
US,11651,0
US,1652,0
US,2962,0
US,4197,0
US,30686,0
US,4558,0
US,19776,0
US,4361,0
US,5856,0
US,25404,0
US,3709,0
US,5291,0
US,1210,0
US,2316,0
US,5217,0
US,4071,0
US,2574,0
US,5484,0
US,157,0
US,5893,0
US,4015,0
US,2081,0
US,1311,0
US,4257,0
US,1798,0
US,13835,0
US,6684,0
US,4775,0
US,1661,0
US,6997,0
US,6196,0
US,1858,0
US,5426,0
US,5672,0
US,2257,0
US,3276,0
US,989,0
US,4787,0
US,2950,0
US,2267,0
US,5344,0
US,501,0
US,1227,0
US,8825,0
US,5340,0
US,4188,0
US,3095,0
US,4441,0
US,2601,0
US,434,0
US,1811,0
US,2095,0
US,16337,0
US,3473,0
US,1991,0
US,6816,0
US,2056,0
US,2902,0
US,3212,0
US,54805,0
US,4936,0
US,5378,0
US,2266,0
US,10807,0
US,11443,0
US,8965,0
US,15453,4130
US,3029,0
US,5525,0
US,9595,0
US,624,0
US,2796,0
US,3932,0
US,3674,0
US,0,0
US,13104,166
US,47311,491
US,19411,80
US,216688,2449
US,28955,13
US,31314,218
US,6614,67
US,41079,428
US,2071,24
US,57558,941
US,3394,73
US,5783,95
US,42803,367
US,51469,426
US,2763,58
US,111053,893
US,14482,305
US,10075,139
US,11720,183
US,8676,154
US,8821,215
US,18848,297
US,9678,140
US,55668,473
US,6696,66
US,5959,103
US,41594,614
US,15757,217
US,171418,1890
US,22436,286
US,5001,81
US,95837,1101
US,5875,92
US,21340,246
US,24929,272
US,18528,284
US,4228,91
US,95228,837
US,8508,159
US,7830,103
US,2214,38
US,13214,179
US,24063,323
US,23223,398
US,45646,594
US,121736,895
US,3916,72
US,94076,1485
US,27683,370
US,0,0
US,7619,144
US,8510,141
US,77227,602
US,766,17
US,4561,56
US,781,13
US,2289,38
US,8069,51
US,10218,117
US,1407,19
US,619,17
US,2728,44
US,265,7
US,2917,33
US,784,8
US,3478,21
US,8363,98
US,1059,17
US,2016,23
US,5845,77
US,1267,35
US,1034,12
US,3130,40
US,682,16
US,936,16
US,1799,39
US,560,16
US,2029,50
US,1063,34
US,450,12
US,1495,41
US,561,11
US,651,6
US,200,3
US,4287,58
US,1724,36
US,305,7
US,626,21
US,412,20
US,177,2
US,1306,21
US,2316,27
US,6542,82
US,15450,98
US,1203,12
US,779,13
US,1339,31
US,426,9
US,6970,59
US,524,7
US,453,13
US,56844,503
US,1374,27
US,3891,60
US,32516,332
US,680,18
US,696,7
US,2415,49
US,572,6
US,1406,35
US,632,6
US,245,3
US,2952,49
US,1378,24
US,1957,62
US,0,0
US,3995,51
US,1305,25
US,5891,56
US,666,11
US,21877,309
US,14871,220
US,4439,90
US,4636,53
US,38827,396
US,32944,383
US,11917,150
US,4152,56
US,8871,147
US,16302,311
US,10856,116
US,5723,91
US,8958,168
US,2216,46
US,11288,201
US,16852,239
US,5098,82
US,16001,309
US,189330,1586
US,6246,96
US,3671,63
US,15798,234
US,12642,191
US,11361,168
US,5668,115
US,12770,165
US,17187,250
US,9374,172
US,6735,103
US,21883,351
US,3960,69
US,19588,345
US,98468,1077
US,1985,31
US,7463,115
US,8629,136
US,16480,286
US,6107,97
US,8944,145
US,8160,147
US,6789,103
US,2663,59
US,4817,68
US,3189,59
US,15585,254
US,5096,85
US,126406,1278
US,2705,40
US,7692,98
US,14209,184
US,3565,50
US,9923,154
US,14319,185
US,8380,139
US,29429,403
US,8786,123
US,10312,116
US,28772,315
US,16604,236
US,7559,113
US,3345,54
US,14400,217
US,49805,547
US,2225,37
US,6102,77
US,10724,179
US,48597,253
US,7124,118
US,2315,48
US,1761,30
US,4670,65
US,24976,291
US,9920,148
US,15681,221
US,21427,288
US,95130,861
US,8917,109
US,4183,66
US,30075,389
US,234127,3151
US,6149,74
US,3268,52
US,45327,660
US,52831,687
US,17535,219
US,4200,45
US,41755,404
US,5116,90
US,5373,69
US,1840,46
US,12936,167
US,38226,465
US,5644,57
US,9440,134
US,8182,126
US,61546,383
US,41368,463
US,9491,230
US,3788,71
US,15241,471
US,4052,78
US,2092,28
US,502,8
US,13293,229
US,5569,71
US,1380,38
US,3527,74
US,21598,227
US,809,32
US,8159,149
US,66121,867
US,545690,5950
US,2506,33
US,94,2
US,4017,70
US,19628,411
US,92744,972
US,59711,404
US,1052,27
US,444,8
US,1604,51
US,10755,222
US,4984,65
US,10712,162
US,14061,172
US,5665,46
US,2766,72
US,98830,1985
US,2799,73
US,1486,34
US,7030,189
US,2259,46
US,10270,69
US,7920,247
US,2583,29
US,2040,32
US,862,23
US,830,19
US,1612,69
US,204123,1448
US,687,16
US,3714,61
US,32225,535
US,3129,77
US,1070,11
US,7174,130
US,17099,205
US,279,9
US,1266,24
US,984,19
US,1827,45
US,508,14
US,2122,40
US,565678,6523
US,2758,93
US,6420,96
US,4476,109
US,1795,24
US,176700,1304
US,422,16
US,5711,51
US,1065,24
US,3304,68
US,2764,110
US,36940,683
US,465,11
US,203510,3653
US,48369,571
US,8597,121
US,3730,63
US,6759,178
US,4730,99
US,604,24
US,1901,47
US,198,11
US,177233,1191
US,2112,40
US,3834,82
US,5610,90
US,1880,83
US,94716,831
US,1230,27
US,5289,107
US,197,3
US,1183,32
US,4676,95
US,6086,122
US,27011,618
US,23040,655
US,8418,118
US,36820,388
US,6499,238
US,1067,22
US,1957,32
US,1901,29
US,553,19
US,11994,245
US,993728,10709
US,13011,222
US,1332,3
US,890,39
US,59631,491
US,1174,7
US,15309,414
US,194436,3822
US,8796,191
US,7568,157
US,13282,265
US,7142,176
US,3974,106
US,6688,178
US,972,16
US,15670,354
US,6604,133
US,438,3
US,1491,27
US,3223,59
US,6054,181
US,221,9
US,44388,809
US,2591,22
US,11069,202
US,41777,709
US,4494,90
US,5473,67
US,34903,520
US,8010,115
US,82,2
US,202,4
US,9495,177
US,672,15
US,41,0
US,733,10
US,7114,142
US,489,24
US,2317,45
US,9521,249
US,4271,122
US,5494,87
US,4171,115
US,4215,60
US,3682,89
US,17524,394
US,5062,122
US,644,16
US,2134,40
US,3850,95
US,165,1
US,93044,1297
US,1409,37
US,3686,53
US,1653,58
US,1164,26
US,779,12
US,8178,174
US,20658,455
US,1256,46
US,56523,889
US,168,9
US,9976,193
US,511,12
US,37295,485
US,4901,99
US,1460,33
US,1860,47
US,4625,122
US,135546,1264
US,5428,110
US,2486,69
US,270,12
US,12005,255
US,12342,217
US,1357,59
US,3047,95
US,97718,1460
US,2185,48
US,544,6
US,14904,341
US,7002,151
US,4498,127
US,33948,434
US,2272,52
US,2647,69
US,7779,244
US,35248,685
US,964,35
US,1824,57
US,27207,475
US,854,14
US,805,24
US,2246,64
US,4587,71
US,1752,32
US,171,2
US,4507,75
US,25964,257
US,2272,63
US,10644,223
US,1229,87
US,1046,41
US,5341,100
US,10983,334
US,1235,33
US,520,9
US,4958,101
US,659,12
US,4356,126
US,491,16
US,45204,938
US,2101,35
US,19585,360
US,1802,45
US,245,5
US,352,7
US,838,12
US,1915,33
US,559128,5682
US,30219,704
US,117,3
US,2441,84
US,266,8
US,8407,126
US,40838,456
US,219148,1678
US,2443,72
US,3367,83
US,74002,23
US,7612,177
US,827,18
US,10529,138
US,14242,290
US,10191,269
US,18402,402
US,18293,209
US,9339,100
US,2801,43
US,8980,144
US,92295,1009
US,8751,206
US,1156,20
US,29152,650
US,3435,86
US,6843,125
US,131380,860
US,10685,155
US,1835,34
US,16754,259
US,7966,277
US,1070,41
US,3881,89
US,3645,52
US,4023,67
US,51319,226
US,20597,157
US,99748,379
US,339700,1555
US,3953,47
US,9968,73
US,63196,597
US,13357,22
US,21245,93
US,12667,97
US,3569,7
US,200862,750
US,10641,33
US,73426,417
US,5161,15
US,9328,65
US,5401,24
US,29958,158
US,1212,3
US,9267,66
US,993,5
US,3721,17
US,4764,14
US,6025,37
US,12176,71
US,937,2
US,9308,46
US,6487,34
US,8369,50
US,15426,109
US,6902,103
US,15658,144
US,29662,183
US,3555,94
US,2577,58
US,6991,83
US,3672,50
US,40260,318
US,18767,200
US,879,19
US,16509,219
US,1745,20
US,7255,93
US,4356,71
US,3039,42
US,4736,103
US,3777,52
US,1985,39
US,11377,192
US,6757,78
US,6560,135
US,1140,27
US,2372,43
US,10025,71
US,49397,465
US,70805,728
US,2592,40
US,4773,91
US,997,24
US,1108,15
US,11522,143
US,1219,23
US,10885,257
US,3290,45
US,5209,83
US,1136,53
US,2243,31
US,173225,1382
US,1950,43
US,1924,16
US,12819,137
US,2527,45
US,4908,42
US,10634,183
US,2457,50
US,20341,228
US,5324,34
US,2538,75
US,4004,44
US,7237,100
US,3866,43
US,3975,77
US,3964,60
US,3300,38
US,6923,148
US,27362,310
US,21407,260
US,13166,151
US,63389,870
US,11249,242
US,358,7
US,6099,119
US,7231,106
US,14678,111
US,4964,36
US,3657,34
US,1112,11
US,1774,30
US,6170,86
US,2816,39
US,65804,364
US,6427,73
US,2292,30
US,19804,263
US,2110,36
